id,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
28887,38, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
292175,43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, >50K
193524,40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
302146,54, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,20, United-States, <=50K
76845,35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40, United-States, <=50K
117037,43, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
109015,59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,40, United-States, <=50K
216851,56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
168294,19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
180211,54, ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,60, South, >50K
367260,39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,80, United-States, <=50K
193366,49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
190709,23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,52, United-States, <=50K
266015,20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,44, United-States, <=50K
386940,45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,40, United-States, <=50K
59951,30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
311512,22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,15, United-States, <=50K
242406,48, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico, <=50K
197200,21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K
544091,19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,25, United-States, <=50K
84154,31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,38, ?, >50K
265477,48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
507875,31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43, United-States, <=50K
88506,53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
172987,24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, <=50K
94638,49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
289980,25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,35, United-States, <=50K
337895,57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40, United-States, >50K
144361,53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38, United-States, <=50K
128354,44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K
101603,41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
271466,29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,43, United-States, <=50K
32275,25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,40, United-States, <=50K
226956,18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,30, ?, <=50K
51835,47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,60, Honduras, >50K
251585,50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,55, United-States, >50K
109832,47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,60, United-States, <=50K
237993,43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
216666,46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, <=50K
56352,35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,40, Puerto-Rico, <=50K
147372,41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,48, United-States, <=50K
188146,30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
59496,30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
293936,32, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male,40, ?, <=50K
149640,48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
116632,42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K
105598,29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,58, United-States, <=50K
155537,36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
183175,28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
169846,53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K
191681,49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
200681,25, ?, Some-college, Never-married, ?, Own-child, White, Male,40, United-States, <=50K
101509,19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,32, United-States, <=50K
309974,31, Private, Bachelors, Separated, Sales, Own-child, Black, Female,40, United-States, <=50K
162298,29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,70, United-States, >50K
211678,23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
124744,79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,20, United-States, <=50K
213921,27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,40, Mexico, <=50K
32214,40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
212759,67, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,2, United-States, <=50K
309634,18, Private, 11th, Never-married, Other-service, Own-child, White, Female,22, United-States, <=50K
125927,31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States, <=50K
446839,18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,30, United-States, <=50K
276515,52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,40, Cuba, <=50K
51618,46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, <=50K
159937,59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, <=50K
343591,44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,40, United-States, >50K
346253,53, Private, HS-grad, Divorced, Sales, Own-child, White, Female,35, United-States, <=50K
268234,49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
202051,33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K
54334,30, Private, 9th, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
410867,43, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
249977,57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
286730,37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K
212563,28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,25, United-States, <=50K
117747,30, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,35, ?, <=50K
226296,34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
115585,29, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,50, United-States, <=50K
191277,48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
202683,37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, >50K
171095,48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,40, England, <=50K
249409,32, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,40, United-States, <=50K
124191,76, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
198282,44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
149116,47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
188300,20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
103432,29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
317660,32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
304873,17, ?, 10th, Never-married, ?, Own-child, White, Female,32, United-States, <=50K
194901,30, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
189265,31, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
124692,42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
432376,24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,40, United-States, <=50K
65324,38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
335605,56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,50, Canada, >50K
377869,28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,25, United-States, <=50K
102864,36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K
95647,53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
303090,56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
197371,49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, >50K
247552,55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,56, United-States, <=50K
102632,22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, <=50K
199915,21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
118853,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, <=50K
77143,30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,40, Germany, <=50K
267989,29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K
301606,19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,35, United-States, <=50K
287828,47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K
111697,20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,28, United-States, <=50K
114937,31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
129305,35, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,40, United-States, <=50K
365739,39, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
69621,28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,60, United-States, <=50K
43323,24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
120985,38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, <=50K
254202,37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
146195,46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,36, United-States, <=50K
125933,38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Iran, >50K
56920,43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K
163127,27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, <=50K
34310,20, Private, Some-college, Never-married, Sales, Own-child, White, Male,20, United-States, <=50K
81973,49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, >50K
66614,61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
232782,27, Private, Some-college, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
316868,19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,30, Mexico, <=50K
196584,45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K
105376,70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,40, United-States, <=50K
185814,31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,30, United-States, <=50K
175374,22, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,24, United-States, <=50K
108293,36, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,24, United-States, <=50K
181232,64, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
174662,43, ?, Some-college, Divorced, ?, Not-in-family, White, Female,40, United-States, <=50K
186009,47, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,38, Mexico, <=50K
198183,34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
163003,33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines, <=50K
296158,21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K
252903,52, ?, HS-grad, Divorced, ?, Not-in-family, White, Male,45, United-States, >50K
187715,48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,46, United-States, <=50K
214542,23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
494223,71, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,2, United-States, <=50K
191535,29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
228456,42, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male,50, United-States, <=50K
38317,68, ?, 1st-4th, Divorced, ?, Not-in-family, White, Female,20, United-States, <=50K
252752,25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K
78374,44, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States, <=50K
88419,28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England, <=50K
201080,45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
207157,36, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,40, Mexico, <=50K
235485,39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,42, United-States, <=50K
102628,46, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male,40, United-States, <=50K
25828,18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, <=50K
54826,66, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,20, United-States, <=50K
124953,27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K
175325,28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K
96062,51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
428030,27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K
149624,28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
253814,27, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,25, United-States, <=50K
312956,21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
483777,34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States, <=50K
183930,18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
37274,33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States, <=50K
181344,44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38, United-States, >50K
114580,43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
633742,30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,45, United-States, <=50K
286370,40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, >50K
29054,37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,42, United-States, >50K
304030,34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40, United-States, <=50K
143129,41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
135105,53, ?, Bachelors, Divorced, ?, Not-in-family, White, Female,50, United-States, <=50K
99928,31, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, <=50K
109567,58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1, United-States, >50K
155222,38, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28, United-States, <=50K
159567,24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
523910,41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, <=50K
120939,47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,45, United-States, <=50K
130760,41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,24, United-States, <=50K
197387,23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male,40, Mexico, <=50K
99374,36, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
56795,40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,55, United-States, >50K
138992,35, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40, United-States, >50K
32921,24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
397317,26, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
170653,19, ?, HS-grad, Never-married, ?, Own-child, White, Male,40, Italy, <=50K
259323,51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
254817,42, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
48211,37, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K
140164,18, Private, 11th, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
128757,36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,36, United-States, >50K
36270,35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
210563,58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,35, United-States, >50K
65368,17, Private, 11th, Never-married, Sales, Own-child, White, Female,12, United-States, <=50K
160943,44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States, <=50K
208358,37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
153790,35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K
85815,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, <=50K
125417,54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
635913,37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,60, United-States, >50K
313321,50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K
182609,38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,50, Poland, <=50K
109434,45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, <=50K
255004,25, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
197860,31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
187656,64, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male,40, United-States, <=50K
51744,90, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,40, United-States, <=50K
176681,54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,20, United-States, <=50K
140359,53, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female,35, United-States, <=50K
243313,18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
24215,60, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,10, United-States, <=50K
167687,66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K
314209,75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,20, Columbia, <=50K
176796,65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
538583,35, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,40, United-States, <=50K
130408,41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,38, United-States, <=50K
159732,25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,42, United-States, <=50K
110978,33, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female,40, United-States, <=50K
76714,28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, >50K
268700,59, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K
170525,40, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,38, United-States, <=50K
180138,41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, Iran, >50K
115076,38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,70, United-States, >50K
115458,23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
347890,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
196001,41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,20, United-States, <=50K
273905,24, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,50, United-States, <=50K
119156,20, ?, Some-college, Never-married, ?, Own-child, White, Male,20, United-States, <=50K
179488,38, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
203580,56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,35, ?, <=50K
236596,58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States, >50K
183916,32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,34, United-States, <=50K
207578,40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,60, United-States, >50K
153141,45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, ?, <=50K
112763,41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States, >50K
390781,42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,40, United-States, <=50K
171328,59, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,30, United-States, <=50K
27382,19, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
259014,58, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,20, United-States, <=50K
303044,42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Cambodia, >50K
117789,20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
172579,32, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,30, United-States, <=50K
187666,45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,45, United-States, <=50K
204518,50, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
150042,36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
98092,45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, <=50K
245918,17, Private, 11th, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
146013,59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
378322,26, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
257295,37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,75, Thailand, >50K
218956,19, ?, Some-college, Never-married, ?, Own-child, White, Male,24, Canada, <=50K
21174,64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
185480,33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, <=50K
222205,33, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,40, United-States, >50K
69867,61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
191260,17, Private, 9th, Never-married, Other-service, Own-child, White, Male,24, United-States, <=50K
30653,50, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,98, United-States, <=50K
